[ (2020/10/29) | Thursday, 21:11:16] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API Key
[ (2020/10/29) | Thursday, 21:11:17] > (type=googleapiclient.discovery.build) API Key is valid and ready to be used
[ (2020/10/30) | Friday, 22:57:37] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/30) | Friday, 22:57:37] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/30) | Friday, 22:58:00] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/30) | Friday, 22:58:01] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:35:16] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 21:35:17] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:36:28] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 21:36:28] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:36:49] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 21:36:49] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:37:18] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 21:37:18] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:37:20] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 21:40:15] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 21:40:15] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:40:17] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 21:40:43] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 21:40:44] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:40:46] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 21:42:13] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 21:42:14] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:42:16] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 21:43:09] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 21:43:10] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:43:12] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 21:43:38] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 21:43:38] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:43:40] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 21:44:30] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 21:44:30] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:44:32] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 21:45:25] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 21:45:25] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:45:27] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 21:45:53] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 21:45:53] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:45:55] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 21:46:45] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 21:46:46] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:46:47] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 21:46:55] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 21:46:55] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:46:57] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 21:47:16] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 21:47:18] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:47:20] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 21:55:34] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 21:55:34] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:55:36] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 21:57:06] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 21:57:06] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:57:08] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 21:59:44] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 21:59:44] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 21:59:46] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:03:51] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:03:52] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:03:53] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:04:36] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:04:36] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:04:38] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:08:29] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:08:30] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:08:32] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:13:16] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:13:16] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:13:18] > (loop=0) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:14:37] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:14:37] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:14:39] > (loop=1) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:15:02] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:15:03] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:15:04] > (loop=2) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:15:37] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:15:38] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:15:39] > (loop=3) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:16:01] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:16:01] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:16:03] > (loop=4) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:16:21] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:16:21] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:16:23] > (loop=5) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:18:42] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:18:42] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:18:44] > (loop=6) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:19:03] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:19:04] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:19:06] > (loop=7) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:19:17] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:19:17] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:19:19] > (loop=8) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:20:43] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:20:43] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:20:45] > (loop=9) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:21:21] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:21:21] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:21:23] > (loop=10) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:24:48] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:24:49] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:24:51] > (loop=11) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:25:52] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:25:52] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:25:54] > (loop=12) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:57:46] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:57:46] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:57:48] > (loop=13) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:58:42] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:58:42] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:58:44] > (loop=14) Youtube checking time: 
[ (2020/10/31) | Saturday, 22:59:06] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 22:59:06] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 22:59:08] > (loop=15) Youtube checking time: 
[ (2020/10/31) | Saturday, 23:01:15] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 23:01:16] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 23:01:18] > (loop=16) Youtube checking time: 
[ (2020/10/31) | Saturday, 23:01:31] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 23:01:31] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 23:01:33] > (loop=17) Youtube checking time: 
[ (2020/10/31) | Saturday, 23:02:18] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 23:02:19] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 23:02:21] > (loop=18) Youtube checking time: 
[ (2020/10/31) | Saturday, 23:09:09] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 23:09:10] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 23:09:12] > (loop=19) Youtube checking time: 
[ (2020/10/31) | Saturday, 23:09:42] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 23:09:43] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 23:09:45] > (loop=20) Youtube checking time: 
[ (2020/10/31) | Saturday, 23:10:17] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 23:10:17] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 23:10:19] > (loop=21) Youtube checking time: 
[ (2020/10/31) | Saturday, 23:10:35] > (type=googleapiclient.discovery.build) Checking for the avaibility of the API KEY
[ (2020/10/31) | Saturday, 23:10:36] > (type=googleapiclient.discovery.build) API KEY is valid and ready to be used
[ (2020/10/31) | Saturday, 23:10:38] > (loop=22) Youtube checking time: 
